번호,영상ID,상태,사유,채널,제목,업로드일,길이,재생목록,문단수,글자수,주소
194,3VTkBuxU4yk,성공,,League of Legends,"K/DA - MORE ft. Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns, Seraphine (Official Music Video)",20201028,3:51,,13,2034,https://www.youtube.com/watch?v=3VTkBuxU4yk
195,Os_heh8vPfs,성공,,SMTOWN,aespa 에스파 'Spicy' MV,20230508,3:24,,12,1738,https://www.youtube.com/watch?v=Os_heh8vPfs
196,phuiiNCxRMg,성공,,SMTOWN,aespa 에스파 'Supernova' MV,20240513,3:13,,17,1208,https://www.youtube.com/watch?v=phuiiNCxRMg
197,M2WTUoy4y6E,성공,,SMTOWN,aespa 에스파 'Dirty Work' MV,20250627,3:09,,3,2162,https://www.youtube.com/watch?v=M2WTUoy4y6E
198,WAUSsfU00L0,성공,,STUDIO CHOOM [스튜디오 춤],LE SSERAFIM(르세라핌) 'SPAGHETTI' (4K) | STUDIO CHOOM ORIGINAL,20251025,2:40,,4,1135,https://www.youtube.com/watch?v=WAUSsfU00L0
199,7-2n8booJYY,성공,,초코서당(초명),초코명리 멤버십 소개,20240307,3:49,,5,1732,https://www.youtube.com/watch?v=7-2n8booJYY
200,NbuyCF9jRn4,성공,,초코서당(초명),식상은 독이 든 성배다,20260710,25:11,,19,12428,https://www.youtube.com/watch?v=NbuyCF9jRn4
201,PtxDCBcBNhM,성공,,초코서당(초명),자신이 죽는 날짜가 사주에 나와있다고?,20260626,22:47,,16,11641,https://www.youtube.com/watch?v=PtxDCBcBNhM
202,fCLH1u1mxtk,성공,,초코서당(초명),사주를 풀이하는 일반적인 순서와 방법,20211224,28:28,사주를 풀이하는 순서와 방법,25,15161,https://www.youtube.com/watch?v=fCLH1u1mxtk
203,0lb2zWOuMII,성공,,초코서당(초명),"사주로 보는 을사년 백종원의 위기, 인사신 삼형과 삼합이 동시에?",20250627,21:17,,16,11021,https://www.youtube.com/watch?v=0lb2zWOuMII
204,6ZUIwj3FgUY,성공,,STARSHIP,IVE 아이브 'I AM' MV,20230410,3:05,,27,824,https://www.youtube.com/watch?v=6ZUIwj3FgUY
,ekr2nIex040,실패,자막 없음(한국어 자막 미제공),ROSÉ,ROSÉ & Bruno Mars - APT. (Official Music Video),20241018,2:53,,0,0,https://www.youtube.com/watch?v=ekr2nIex040
205,nFYwcndNuOY,성공,,SMTOWN,aespa 에스파 'Armageddon' MV,20240527,3:33,,8,1522,https://www.youtube.com/watch?v=nFYwcndNuOY
206,2iK3ccCsI6s,성공,,SMTOWN,aespa エスパ 'Hot Mess' MV,20240703,3:27,,11,1172,https://www.youtube.com/watch?v=2iK3ccCsI6s
,UOxkGD8qRB4,실패,자막 없음(한국어 자막 미제공),League of Legends,"K/DA - POP/STARS (ft. Madison Beer, (G)I-DLE, Jaira Burns) | Music Video - League of Legends",20181103,3:23,,0,0,https://www.youtube.com/watch?v=UOxkGD8qRB4
207,2VAKcz9W4WM,성공,,STUDIO CHOOM [스튜디오 춤],LE SSERAFIM(르세라핌) 'HOT' (4K) | STUDIO CHOOM ORIGINAL,20250315,2:54,,19,220,https://www.youtube.com/watch?v=2VAKcz9W4WM
208,EAAnf5KRcXY,성공,,tvN SPORTS,[UFC] 코너 맥그리거 vs 맥스 할로웨이,20260712,12:38,,44,4230,https://www.youtube.com/watch?v=EAAnf5KRcXY
209,kW816TER06A,성공,,[ALTUBE] 김성현TV,"합리적인 가격에 원하는 유닛을 사오기 위한 상대와의 치열한 눈치싸움 ""입찰 컨트롤""ㅋㅋ",20250928,27:22,,184,5536,https://www.youtube.com/watch?v=kW816TER06A
210,03bEv3v2bSk,성공,,흑백리뷰,오늘 출시한 우지 짜장라면 ㄷㄷ 이건 충격적입니다,20260708,2:08,,6,1010,https://www.youtube.com/watch?v=03bEv3v2bSk
211,rrMyqH18ddA,성공,,[ALTUBE] 김성현TV,맵 이름부터 심상치 않은 7인 졸~라 긴 입구 막기에 도전해 봤습니다ㅋㅋ,20250921,2:34:17,,941,29774,https://www.youtube.com/watch?v=rrMyqH18ddA
212,ItTc8_5Vh44,성공,,[ALTUBE] 김성현TV,시즈탱크가 사정거리 무한이라면!? [사정거리 무한 크래프트],20260711,19:11,,92,5364,https://www.youtube.com/watch?v=ItTc8_5Vh44
213,olGpmlwxYac,성공,,Channel A News (Korea),"'탈영 의혹' 안규백 병적 공개 거부에 한동훈 ""탈영보다 더한 내용 있나"" [뉴스플레이리스트] / 채널A",20260711,17:27,,22,8539,https://www.youtube.com/watch?v=olGpmlwxYac
214,agW3gtY6Huk,성공,,핸콕TV,최신화) 악마 그 자체라는 샹크스 형 샴록 근황 #원피스,20260622,1:45,,12,233,https://www.youtube.com/watch?v=agW3gtY6Huk
215,UqPsWntdd1U,성공,,프루스트,미나미가 얘기해주는 소속사와의 분쟁과 데뷔 이야기,20260618,58,,1,469,https://www.youtube.com/watch?v=UqPsWntdd1U
216,u_4OMBtthtY,성공,,ZUYONI TECH,맥북&맥미니 존버 끝내세요. “지금 아니면 못 산다”가 현실이 된 상황,20260519,10:39,,11,5215,https://www.youtube.com/watch?v=u_4OMBtthtY
217,Esq15Nk5lnU,성공,,올스,[3분 HL] 8강 프랑스 VS 모로코 | KBS 260710 방송,20260710,3:37,,5,1610,https://www.youtube.com/watch?v=Esq15Nk5lnU
218,fJq1vT_9BbU,성공,,KNN NEWS,"""보너스를 왜 상품권으로?"" 직장인들 발끈한 법안의 실체 / KNN",20260711,1:56,,2,814,https://www.youtube.com/watch?v=fJq1vT_9BbU
,7yMisDZugYQ,실패,자막 없음(한국어 자막 미제공),KBS Kpop,[뮤뱅 원테이크 4K] 아이브 (IVE) 'BLACKHOLE' 4K Bonus Ver. @뮤직뱅크 (Music Bank) 260227,20260227,3:42,,0,0,https://www.youtube.com/watch?v=7yMisDZugYQ
