한자,음,훈음(인명),이독음/기타,총획,유니코드
笛,적,적 : 피리(적),저,11,U+7B1B
籍,적,적 : 문서(적),자 : 온화 할(자),20,U+7C4D
糴,적,적 : 쌀살(적),,22,U+7CF4
績,적,적 : 공(적),,17,U+7E3E
翟,적,적 : 꿩(적) 무적(적),"약,익,책,취",14,U+7FDF
荻,적,적 : 물억새(적),,13,U+837B
菂,적,적 : 연밥(적),,14,U+83C2
覿,적,적 : 볼(적),,22,U+89BF
謫,적,적 : 꾸짖을(적) 귀양갈(적) 운기(적),적 : 꾸짖을(적) 귀 양갈(적) 운기(적),18,U+8B2B
賊,적,적 : 도둑질할(적) 해칠(적) 역적(적),적 : 도둑질할(적)  해칠(적) 역적(적),13,U+8CCA
赤,적,적 : 붉을(적),혁,7,U+8D64
跡,적,적 : 자취(적) 흔적(적),지,13,U+8DE1
蹟,적,적 : 자취(적) 흔적(적),적 : 자취(적) 흔적 (적),18,U+8E5F
迪,적,적 : 나아갈(적),,9,U+8FEA
迹,적,적 : 자취(적),,10,U+8FF9
逖,적,적 : 멀(적),,11,U+9016
適,적,적 : 맞을(적),,15,U+9069
鏑,적,적 : 살촉(적) 우는살(적),적 : 살촉(적) 우는 살(적),19,U+93D1
馰,적,적 : 별박이(적),"익,작",13,U+99B0
򠇕,적,적,,13,U+A01D5
佃,전,전 : 밭갈(전) 소작인(전) 사냥할(전),전 : 밭갈(전) 소작 인(전) 사냥할(전),7,U+4F43
佺,전,전 : 이름(전),,8,U+4F7A
傳,전,전 : 전할(전) 주막(전) 책(전),전 : 전할(전) 주막 (전) 책(전),13,U+50B3
全,전,전 : 온전할(전) 온통(전),전 : 온전할(전) 온 통(전),6,U+5168
典,전,전 : 법(전),곡,8,U+5178
前,전,전 : 앞(전),,9,U+524D
剪,전,전 : 가위(전) 벨(전),,11,U+526A
吮,전,전 : 빨(전),"연,윤 : 빨(연)",7,U+542E
囀,전,전 : 지저귈(전),,21,U+56C0
塼,전,전 : 벽돌(전),,14,U+587C
奠,전,전 : 둘(전) 전올릴(전),정,12,U+5960
姾,전,전 : 계집단정할(전)  여자이름(전),,9,U+59FE
嫥,전,전 : 전일한(전),,14,U+5AE5
專,전,전 : 오로지(전),혜,11,U+5C08
屇,전,전 : 구멍(전),,8,U+5C47
展,전,전 : 펼(전),,10,U+5C55
巓,전,전 : 산꼭대기(전),,22,U+5DD3
廛,전,전 : 터(전),,15,U+5EDB
悛,전,전 : 고칠(전),준,10,U+609B
戩,전,전 : 복(전) 다할(전) 갈길(전),,14,U+6229
戰,전,전 : 싸움(전),,16,U+6230
揃,전,전 : 자를(전) 뽑을(전),,12,U+63C3
搌,전,전 : 닦을(전),,13,U+640C
搷,전,전 : 칠(전) 당길(전) 날릴(전),진,13,U+6437
旃,전,전 : 기(전),,10,U+65C3
朘,전,전 : 쭈그러질(전),준,11,U+6718
栓,전,전 : 마개(전),,10,U+6813
栴,전,전 : 단향목(전),,10,U+6834
橏,전,전 : 나무혹(전) 나무밋밋할(건),"건,선 : 나무밋밋할(건)",16,U+6A4F
殿,전,전 : 큰집(전) 후군(전),전 : 큰집(전) 후군 (전),13,U+6BBF
氈,전,전 : 모전(전),,17,U+6C08
沺,전,전 : 물가없을(전) 물결퍼질(전),,8,U+6CBA
湔,전,전 : 씻을(전) 빨(전),,12,U+6E54
澱,전,전 : 찌끼(전) 괼(전),,16,U+6FB1
澶,전,전 : 땅이름(전),"늠,단 : 땅이름(단)",16,U+6FB6
瀍,전,전 : 물이름(전),,18,U+700D
煎,전,전 : 달일(전) 졸일(전),전 : 달일(전) 졸일 (전),13,U+714E
牋,전,전 : 종이(전) 편지(전) 상소(전),,12,U+724B
琠,전,전 : 옥이름(전),,12,U+7420
瑔,전,전 : 옥이름(전)  조개이름(전),천,13,U+7454
甎,전,전 : 벽돌(전),,16,U+750E
田,전,전 : 밭(전),,5,U+7530
甸,전,전 : 경계(전),"구,승,정,천",7,U+7538
畋,전,전 : 밭갈(전) 사냥할(전),,9,U+754B
畑,전,전 : 화전(전),,9,U+7551
痊,전,전 : 나을(전),,11,U+75CA
癜,전,전 : 어루러기(전),,18,U+765C
癲,전,전 : 미칠(전),,24,U+7672
磚,전,전 : 벽돌(전),,16,U+78DA
筌,전,전 : 통발(전),,12,U+7B4C
箋,전,전 : 전지(전) 부전(전),전 : 전지(전) 부전 (전),14,U+7B8B
箭,전,전 : 살(전),,15,U+7BAD
篆,전,전 : 전자(전),,15,U+7BC6
籛,전,전 : 성(전),,22,U+7C5B
纏,전,전 : 묶을(전),,21,U+7E8F
羶,전,전 : 노린내날(전),,19,U+7FB6
翦,전,전 : 벨(전) 성(전),,15,U+7FE6
腆,전,전 : 두터울(전) 착할(전),,12,U+8146
膞,전,전 : 모래주머니(전),,15,U+819E
荃,전,전 : 향초(전),,12,U+8343
詮,전,전 : 설명할(전) 갖출(전),전 : 설명할(전) 갖 출(전),13,U+8A6E
賟,전,전 : 부유할(전),,15,U+8CDF
躔,전,전 : 궤도(전) 자취(전) 밟을(전),,22,U+8E94
輇,전,전 : 달(전) 상여차(전),,13,U+8F07
輾,전,전 : 돌아누을(전) 타작할(전),전 : 돌아누을(전)  타작할(전) 연자매 (년),17,U+8F3E
轉,전,전 : 구를(전) 옮길(전) 굴릴(전),전 : 구를(전) 옮길 (전) 굴릴(전),18,U+8F49
邅,전,전 : 머뭇거릴(전),,17,U+9085
鄽,전,전 : 터(전),,18,U+913D
鈿,전,전 : 비녀(전) 나전세공(전),전 : 비녀(전) 나전 세공(전),13,U+923F
銓,전,전 : 저울(전) 가릴(전),전 : 저울(전) 가릴 (전),14,U+9293
鋑,전,전 : 샛길(전),"준,찬",15,U+92D1
錢,전,전 : 돈(전) 가래(전) 전(전),철,16,U+9322
錪,전,전 : 무거울(전) 솥(전),,16,U+932A
鐫,전,전 : 새길(전) 물리칠(전),준,21,U+942B
電,전,전 : 번개(전) 전기(전),전 : 번개(전) 전기 (전),13,U+96FB
靛,전,전 : 청대(전),정,16,U+975B
靦,전,전 : 부끄러워할(전)  볼(전),,16,U+9766
顓,전,전 : 오로지(전) 어리석을(전),"진,현",18,U+9853
顚,전,전 : 정수리(전) 근본(전) 미칠(전),"경,진",19,U+985A
顫,전,전 : 떨(전),,22,U+986B
飦,전,전 : 죽(전),,12,U+98E6
餞,전,전 : 전송할(전),,17,U+991E
餰,전,전 : 된죽(전),,18,U+9930
鬋,전,전 : 귀밑머리늘어질(전) 깎을(전),,19,U+9B0B
鱣,전,전 : 철갑상어(전),선 : 두렁어리(선),24,U+9C63
鸇,전,전 : 송골매(전),,24,U+9E07
򠇖,전,전,,12,U+A01D6
冿,"전,점","전,점 : 나아갈(점)",첨,8,U+51BF
雋,"전,준","전,준 : 영특할(준/전)",상,13,U+96CB
塡,"전,진","전,진 : 메울(전)",신,13,U+5861
岊,절,절 : 산기슭(절),,7,U+5C8A
截,절,절 : 끊을(절),,14,U+622A
折,절,절 : 꺾을(절) 깎을(절),"근,기,석,설,수,승,은,제,탁,흔",7,U+6298
浙,절,절 : 물이름(절),석 : 쌀 씻을(석) 씻길(석) 이름(석),10,U+6D59
癤,절,절 : 부스럼(절),,18,U+7664
竊,절,절 : 훔칠(절),,22,U+7ACA
節,절,절 : 마디(절),,13,U+7BC0
絕,절,절 : 끊어질(절) 뛰 어날(절) 절구(절) 득할(절),,12,U+7D55
絶,절,절 : 끊을(절),시,12,U+7D76
晢,"절,제","절,제: 반짝거릴(제) 밝을(절)","석,제 : 반짝거릴(제)",11,U+6662
䀸,"절,체","절,체","계,재,제",12,U+4038
切,"절,체","절,체 : 벨(절) 절박할(절) 반절(절) 온통(체)","절,체 : 벨(절) 절 박할(절) 반절(절) 온통(체)",4,U+5207
墆,"절,체","절,체 : 저축(절) 으스름할(체)",채,14,U+5886
佔,점,점 : 차지할(점) 엿볼(점),,7,U+4F54
占,점,점 : 점칠(점) 입으로부를(점) 차지할(점),점 : 점칠(점) 입으 로부를(점) 차지할 (점),5,U+5360
坫,점,점 : 잔대(점),,8,U+576B
墊,점,점 : 받칠(점)  빠질(점),숙,14,U+588A
奌,점,점 : 點(검은점(점))의 略字,,8,U+594C
岾,점,점 : 고개(점) 점이름(점),점 : 고개(점) 점이 름(점),8,U+5CBE
店,점,점 : 전방(점),,8,U+5E97
漸,점,점 : 차차(점),"잠,참",14,U+6F38
点,점,점 : 방울(점) 작은얼룩(점),점 : 방울(점) 작은 얼룩(점),9,U+70B9
玷,점,점 : 옥티(점) 이지러질(점),,9,U+73B7
笘,점,점 : 분판(점)  채찍(점),섬,11,U+7B18
簟,점,점 : 대자리(점),,18,U+7C1F
粘,점,점 : 차질(점) 붙을(점),점 : 차질(점) 붙을 (점),11,U+7C98
苫,점,점 : 거적(점),,11,U+82EB
蔪,점,점 : 보리팰(점) 더북할(점),,17,U+852A
蛅,점,점 : 쐐기(점),기,11,U+86C5
覘,점,점 : 엿볼(점),첨,12,U+8998
霑,점,점 : 젖을(점) 적실(점),첨,16,U+9711
颭,점,점 : 흔들릴(점),,14,U+98AD
鮎,점,점 : 메기(점),념,16,U+9B8E
黏,점,점 : 차질(점)  붙을(점),녜,17,U+9ECF
點,점,점 : 점(점),,17,U+9EDE
接,접,접 : 접할(접),첩,11,U+63A5
摺,접,접 : 접을(접) 주름(접),"랍,섭",14,U+647A
椄,접,접 : 나무접붙일(접)  형벌틀(접),,12,U+6904
楪,접,접 : 접시(접),엽,13,U+696A
蜨,접,접 : 나비(접),,14,U+8728
蝶,접,접 : 나비(접),엽,15,U+8776
跕,접,접 : 밟을(접) 떨어질(접),,12,U+8DD5
蹀,접,접 : 밟을(접),,16,U+8E40
鰈,접,접 : 가재미(접)  넙치(접),"첩,탑 : 가재미(탑)",20,U+9C08
䄇,정,정,족,12,U+4107
䆑,정,정,,7,U+4191
䆸,정,정,,17,U+41B8
丁,정,정 : 네째천간(정),,2,U+4E01
井,정,정 : 우물(정),,4,U+4E95
亭,정,정 : 정자(정),형 : 정자(정),9,U+4EAD
仃,정,정 : 고독할(정),척,4,U+4EC3
佂,정,정 : 두려워할(정),,7,U+4F42
侹,정,정: 평평할(정),"연,해",9,U+4FB9
停,정,정 : 머무를(정),,11,U+505C
偵,정,정 : 염탐할(정),,11,U+5075
凈,정,정 : 찰(정),,10,U+51C8
叮,정,정 : 물을(정) 정성스러울(정),,5,U+53EE
呈,정,정 : 나타날(정),광,7,U+5448
圢,정,정 : 땅고를(정),우,5,U+5722
埩,정,정 : 밭갈(정),,11,U+57E9
奵,정,정 : 얼굴좋을(정),아,5,U+5975
妌,정,정 : 덕성스러울(정),,7,U+598C
姃,정,정 : 단정할(정),,8,U+59C3
娗,정,정 : 모양낼(정),"연,전 : 매욱할(전) 속일(전)",10,U+5A17
婷,정,정 : 예쁠(정),효,12,U+5A77
定,정,정 : 정할(정),,8,U+5B9A
寊,정,정 : 넓은집(정),,12,U+5BCA
嵉,정,정 : 높은산(정),,12,U+5D49
幀,정,정 : 족자(정),,12,U+5E40
庭,정,정 : 뜰(정),,10,U+5EAD
廷,정,정 : 조정(정),연,7,U+5EF7
征,정,정 : 칠(정),,8,U+5F81
怔,정,정 : 황겁할(정),,8,U+6014
情,정,정 : 뜻(정) 인정(정),첨,11,U+60C5
挰,정,정,,10,U+6330
挺,정,"정 : 곧을(정), 뺄(정), 빼어날(정)",,10,U+633A
掟,정,정: 둘러질(정) 영갑(정),정: 둘러칠(정) 영 갑(정),11,U+639F
揁,정,정,,12,U+63C1
政,정,정 : 정사(정),,8,U+653F
整,정,정 : 가지런할(정),,15,U+6574
旌,정,정 : 기(정),,11,U+65CC
晶,정,정 : 맑을(정),,12,U+6676
晸,정,정 : 햇살불그레할(정),지,12,U+6678
朾,정,정 : 갓대(정) 땅이 름(정),,6,U+673E
柾,정,정 : 나무바를(정),구 : 널(구),9,U+67FE
桯,정,정 : 자루(정),니,11,U+686F
梃,정,정 : 막대기(정),,11,U+6883
棖,정,정 : 문설주(정),장,12,U+68D6
楟,정,정 : 아가위(정),,13,U+695F
楨,정,정 : 담치는나무(정),,13,U+6968
檉,정,정 : 위성류(정),성,17,U+6A89
正,정,정 : 바를(정),,5,U+6B63
汀,정,정 : 물가(정),,5,U+6C40
汫,정,정 : 땅이름(정),경,7,U+6C6B
泟,정,정 : 붉은(청) 대추즙(청),"면,청 : 붉은(청) 대추즙(청)",8,U+6CDF
涏,정,정 : 샘물(정),"던,전,접 : 빛나고윤택할(전)",10,U+6D8F
淀,정,정 : 얕은물(정),전 : 얕은물(전/정),11,U+6DC0
淨,정,정 : 깨끗할(정),,11,U+6DE8
渟,정,정 : 괼(정),,12,U+6E1F
湞,정,정 : 물이름(정),,12,U+6E5E
瀞,정,정: 맑을(정),빈,19,U+701E
灯,정,정 : 등잔(정)(燈의 간체자),등 : 등잔(등)(燈의 간체자),6,U+706F
炡,정,정 : 데칠(정) 불번쩍거릴(정),정 : 데칠(정) 불번 쩍거릴(정),9,U+70A1
玎,정,정 : 옥소리(정),"경,우,쟁",6,U+738E
珵,정,정 : 패옥(정) 노리개(정),리,11,U+73F5
珽,정,정 : 옥홀(정),"반,연",11,U+73FD
町,정,정 : 밭두둑(정),,7,U+753A
疔,정,정 : 정(정),,7,U+7594
盯,정,정 : 똑바로볼(정),,7,U+76EF
眐,정,정 : 홀로볼(정),,10,U+7710
睛,정,정 : 눈알(정),청,13,U+775B
矴,정,정 : 닻(정),,7,U+77F4
碇,정,정 : 닻(정),,13,U+7887
碠,정,정 : 돌정자(정),,14,U+78A0
禎,정,정 : 상서(정),,14,U+798E
程,정,정 : 한도(정),,12,U+7A0B
穽,정,정 : 함정(정) 구덩이(정),영,9,U+7A7D
竫,정,정 : 조용할(정),,13,U+7AEB
筳,정,정 : 가는대(정),연,13,U+7B73
精,정,정 : 자세할(정),,14,U+7CBE
綎,정,정 : 띠술(정),,13,U+7D8E
聙,정,정 : 듣기잘할(정)  귀밝을(정),,14,U+8059
艇,정,정 : 거룻배(정),,13,U+8247
莛,정,정 : 풀줄기(정),연,13,U+839B
葶,정,정 : 꽃다지(정),,15,U+8476
訂,정,정 : 바로잡을(정),,9,U+8A02
証,정,정 : 증명할(정),"주,증 : 증명할(증)",12,U+8A3C
諚,정,정 : 분부할(정),범,15,U+8ADA
諪,정,정 : 조정할(정),,16,U+8AEA
貞,정,정 : 곧을(정),,9,U+8C9E
赬,정,정 : 붉을(정),,16,U+8D6C
遉,정,정 : 염탐할(정),,13,U+9049
鄭,정,정 : 정나라(정),,15,U+912D
酊,정,정 : 술취할(정),,9,U+914A
酲,정,정 : 숙취(정),,14,U+9172
釘,정,정 : 못(정) 박을(정),,10,U+91D8
鉦,정,정 : 징(정),지,13,U+9266
鋌,정,정 : 광석(정) 달릴(정) 동철(정) 없어질(정),정 : 광석(정) 달릴 (정) 동철(정)  없어질(정),15,U+92CC
鋥,정,정 : 칼날세울(정),,15,U+92E5
錠,정,정 : 대(정) 신설로(정) 정제(정),정 : 대(정) 신설로 (정) 정제(정),16,U+9320
阷,정,정 : 언덕(정),,8,U+9637
霆,정,정 : 천둥소(정),,15,U+9706
靖,정,정 : 편안할(정),청,13,U+9756
靘,정,정 : 치장환히할(정),,14,U+9758
静,정,정 : 靜(조용할(정)의 略字,정 : 靜(조용할(정) 의 略字,14,U+9759
靚,정,정 : 단장할(정),,15,U+975A
靜,정,정 : 조용할(정),,16,U+975C
頂,정,정 : 이마(정) 꼭대기(정),정 : 이마(정) 꼭대 기(정),11,U+9802
頲,정,정: 바를(정),,16,U+9832
顁,정,정 : 이마(정),,17,U+9841
鴊,정,정 : 매(정),,16,U+9D0A
鼎,정,정 : 솥(정),,13,U+9F0E
𩓞,정,정,"유,장",17,U+294DE
򠄆,정,정,,14,U+A0106
򠈖,정,정 : 맑을(정),,20,U+A0216
󱃣,정,정,,11,U+F10E3
婧,"정,청","정,청 : 가냘플(청)",,11,U+5A67
俤,제,제 : 사람이름(제),,9,U+4FE4
偙,제,제: 곤할(제) 못생길(제) 영특할(제),제: 곤할(제) 못생 길(제) 영특할(제),11,U+5059
僀,제,제,,13,U+50C0
儕,제,제 : 무리(제),,16,U+5115
制,제,제 : 정할(제)   금할(제)   법(제),재,8,U+5236
劑,제,제 : 약제(제),,16,U+5291
啼,제,제 : 울(제),,12,U+557C
堤,제,제 : 둑(제),"시,식",12,U+5824
姼,제,제: 예쁠(제),"시, 재, 치: 죽은어머니(시) 경망할(치)",9,U+59FC
娣,제,제 : 손아래누이(제) 손아래동서(제),재,10,U+5A23
帝,제,제 : 임금(제),재,9,U+5E1D
弟,제,제 : 아우(제),,7,U+5F1F
悌,제,제 : 화락할(제),재,10,U+608C
提,제,제 : 들(제),"리,시 : 보리수(리)(불교한 자음)",12,U+63D0
擠,제,제 : 밀칠(제) 떨어질(제),,17,U+64E0
梯,제,제 : 사닥다리(제),재 : 사닥다리(제),11,U+68AF
淛,제,제 : 강이름(제),"재,절 : 강이름(절)",11,U+6DDB
済,제,제 : 구할(제)의 속자,제 : 구할(제)의 속 자,11,U+6E08
渧,제,제 : 물방울(제),재,12,U+6E27
漈,제,제 : 물가(제),,14,U+6F08
濟,제,제 : 건질(제) 건널(제),제 : 건질(제) 건널 (제),17,U+6FDF
猘,제,제 : 미친개(제),,11,U+7318
瑅,제,제 : 옥이름(제),"시,식,재",13,U+7445
睇,제,제 : 흘끗볼(제),,12,U+7747
稊,제,제 : 돌피(제) 싹(제),,12,U+7A0A
第,제,제 : 차례(제) 집(제) 다만(제),,11,U+7B2C
緹,제,제 : 붉은빛(제)  명주(제),시,15,U+7DF9
臍,제,제 : 배꼽(제),,18,U+81CD
苐,제,제,,11,U+82D0
薺,제,제 : 냉이(제),자,20,U+85BA
製,제,제 : 만들(제),,14,U+88FD
諸,제,제 : 모든(제),저 : 김치(저),16,U+8AF8
踶,제,제 : 찰(제) 굽(제),,16,U+8E36
蹄,제,제 : 굽(제),재,16,U+8E44
蹏,제,제 : 굽(제),,17,U+8E4F
躋,제,제 : 오를(제),재,21,U+8E8B
醍,제,제 : 맑은술(제),,16,U+918D
鍗,제,제 : 텔루륨기(제),,17,U+9357
除,제,제 : 섬돌(제) 덜(제) 나눌(제),,10,U+9664
隄,제,제 : 둑(제),,12,U+9684
際,제,제 : 사이(제),,14,U+969B
隮,제,제 : 오를(제) 구름 피어오를(제),,17,U+96AE
霽,제,제 : 갤(제),재 : 갤(제),22,U+973D
韲,제,제 : 양념할(제),,19,U+97F2
題,제,제 : 제목(제) 이마(제) 머리말(제) 문제(제) 글쓸(제) 평론할(제),제 : 제목(제) 이마 (제) 머리말(제)  문제(제) 글쓸(제) 평론할(제),18,U+984C
鮧,제,제 : 참자젓(제),이 : 참자젓(이),17,U+9BA7
鯷,제,제 : 멸치(제),,20,U+9BF7
齊,제,제 : 가지런할(제) 다스릴(제),재 : 상복아래단홀(자)   재계할(재),14,U+9F4A
򠇗,제,제,,20,U+A01D7
祭,"제,채","제,채 : 제사지낼(제)",,11,U+796D
㜖,조,조,아,14,U+3716
䢐,조,조,,9,U+4890
佻,조,조 : 경박할(조),도,8,U+4F7B
俎,조,조 : 도마(조),,9,U+4FCE
傮,조,조 : 마칠(조),,13,U+50AE
兆,조,조 : 조짐(조) 조(조),도,6,U+5146
凋,조,조 : 시들(조),,10,U+51CB
刁,조,조 : 조두(조),,2,U+5201
助,조,조 : 도울(조),,7,U+52A9
厝,조,조 : 둘(조),,10,U+539D
嘈,조,조 : 지껄일(조),,14,U+5608
嘲,조,조 : 비웃을(조),,15,U+5632
噪,조,조 : 떠들썩할(조),소,16,U+566A
奝,조,조 : 많을(조),주,11,U+595D
嬥,조,조 : 아리따울(조),소,17,U+5B25
嶆,조,조: 산속휑할(조),,14,U+5D86
弔,조,조 : 조상할(조) 서러울(조),조 : 조상할(조) 서 러울(조) 이를(적),4,U+5F14
彫,조,조 : 새길(조) 시들(조),조 : 새길(조) 시들 (조),11,U+5F6B
徂,조,조 : 갈(조),,8,U+5F82
懆,조,조 : 근심할(조),,16,U+61C6
找,조,조 : 찾을(조),"식,화",7,U+627E
措,조,조 : 놓을(조) 베풀(조) 처리할(조),석,11,U+63AA
操,조,조 : 부릴(조) 지조(조),조 : 부릴(조) 지조 (조),16,U+64CD
早,조,조 : 새벽(조) 일찍(조),조 : 새벽(조) 일찍 (조),6,U+65E9
晀,조,조 : 밝을(조),요,10,U+6640
晁,조,조 : 아침(조),,10,U+6641
曹,조,조 : 무리(조),,11,U+66F9
曺,조,조 : 성(조)(한국한자),조 : 성(조)(한국한 자),10,U+66FA
朝,조,조 : 아침(조) 조정(조) 왕조(조),조 : 아침(조) 조정 (조) 왕조(조),12,U+671D
條,조,조 : 가지(조) 조리(조),수,11,U+689D
棗,조,조 : 대추(조),초,12,U+68D7
槽,조,조 : 물통(조) 구유(조) 홈(조),조 : 물통(조) 구유 (조) 홈(조),15,U+69FD
殂,조,조 : 죽을(조),,9,U+6B82
漕,조,조 : 배저을(조) 뱃길(조),조 : 배저을(조) 뱃 길(조),14,U+6F15
潮,조,조 : 조수(조),한,15,U+6F6E
澡,조,조 : 씻을(조),,16,U+6FA1
照,조,조 : 비칠(조) 비출(조),"소,희",13,U+7167
燥,조,조 : 마를(조),,17,U+71E5
爪,조,조 : 손톱(조),,4,U+722A
珇,조,조 : 서옥머리수두룩할(조),,9,U+73C7
琱,조,조 : 새길(조),"도,주",12,U+7431
璪,조,조 : 면류관드림옥(조),,17,U+74AA
皁,조,조 : 검을(조) 구유(조),,7,U+7681
眺,조,조 : 바라볼(조),,11,U+773A
碉,조,조 : 돌집(조),주,13,U+7889
祖,조,조 : 할아버지(조) 선조(조),조 : 할아버지(조)  선조(조),10,U+7956
祚,조,조 : 복(조) 해(조) 자리(조),,10,U+795A
祧,조,조 : 천묘(조),,11,U+7967
租,조,조 : 빌(조) 세(조),,10,U+79DF
稠,조,조 : 빽빽할(조),주,13,U+7A20
窕,조,조 : 으늑할(조) 조용할(조),"도,요",11,U+7A95
竈,조,조 : 부엌(조) 부엌귀신(조),,21,U+7AC8
笊,조,조 : 조리(조),,10,U+7B0A
粗,조,조 : 거칠(조),,11,U+7C97
糙,조,조 : 현미(조),,17,U+7CD9
糟,조,조 : 지게미(조),,17,U+7CDF
糶,조,조 : 쌀팔(조),,25,U+7CF6
組,조,조 : 짤(조) 끈(조),,11,U+7D44
絛,조,조 : 끈(조),도,13,U+7D5B
絩,조,조 : 실수효(조) 색실(조),,12,U+7D69
繰,조,조 : 아청빛비단(조),소 : 켤(소),19,U+7E70
肇,조,조 : 비롯할(조),"경,도,소,초",14,U+8087
胙,조,조 : 제육(조),,9,U+80D9
臊,조,조 : 누릴(조) 기름(조),,17,U+81CA
艚,조,조 : 거룻배(조),,17,U+825A
蔦,조,조 : 담쟁이(조),"앵,초",17,U+8526
藻,조,조 : 조류(조),,22,U+85FB
蚤,조,조 : 벼룩(조) 일찍(조),조 : 벼룩(조) 일찍 (조),10,U+86A4
蜩,조,조 : 쓰르라미(조),,14,U+8729
覜,조,조 : 뵐(조) 조회(조),,13,U+899C
詔,조,조 : 조서(조) 가르칠(조),"소,연 : 소개(소)",12,U+8A54
誂,조,조 : 꾀할(조),,13,U+8A82
譟,조,조 : 떠들(조) 떠뜰썩할(조),,20,U+8B5F
趙,조,조 : 조나라(조),기,14,U+8D99
躁,조,조 : 성급할(조),,20,U+8E81
造,조,조 : 지을(조) 시작할(조),호,11,U+9020
遭,조,조 : 만날(조),,15,U+906D
鄵,조,조 : 땅이름(조),,16,U+9135
釣,조,조 : 낚시(조) 낚을(조) 구할(조),"금,도",11,U+91E3
鈟,조,조 : 낚시(조) 낚을(조) 구할(조),,12,U+921F
銚,조,조 : 가래(조),요 : 남비(요),14,U+929A
鋽,조,조 : 불리지않은쇠(조),탁,16,U+92FD
阻,조,조 : 막을(조) 험할(조),조 : 막을(조) 험할 (조),8,U+963B
雕,조,조 : 수리새(조) 샛길(조) 시(조),도,16,U+96D5
鯛,조,조 : 도미(조),,19,U+9BDB
鳥,조,조 : 새(조),,11,U+9CE5
鵰,조,조 : 수리새(조),,19,U+9D70
鼂,조,조 : 아침(조),,18,U+9F02
𠄬,조,조,,8,U+2012C
򠄏,조,조,,10,U+A010F
򠇘,조,조,,22,U+A01D8
󳑭,조,조,,10,U+F346D
昭,"조,소","조,소 : 밝을소(조)",,9,U+662D
啁,"조,주","조,주 : 울(조) 새소리(주)",,11,U+5541
調,"조,주","조,주: 고를(조) 아침(조) 맞을(주)",줄,15,U+8ABF
族,족,족 : 겨레(족) 무리(족),족 : 겨레(족) 무리 (족),11,U+65CF
瘯,족,족 : 진버짐(족) 옴(족),,16,U+762F
簇,족,족 : 모일(족) 떼(족),,17,U+7C07
足,족,족 : 발(족) 족할(족),주,7,U+8DB3
鏃,족,족 : 살촉(족),촉 : 살촉(족),19,U+93C3
存,존,존 : 있을(존) 살필(존),존 : 있을(존) 살필 (존),6,U+5B58
尊,존,존 : 높을(존),준,12,U+5C0A
拵,존,존 : 곶을(존) 지을(존),,9,U+62F5
卒,졸,졸 : 군사(졸) 하인(졸) 마칠(졸),졸 : 군사(졸) 하인 (졸) 마칠(졸),8,U+5352
拙,졸,졸 : 졸할(졸),,8,U+62D9
猝,졸,졸 : 갑작스러울(졸),,11,U+731D
㣭,종,종,,12,U+38ED
伀,종,종 : 두려울(종),공,6,U+4F00
倧,종,종 : 한배(종) 신인(종),종 : 한배(종) 신인 (종),10,U+5027
堹,종,종 : 연못둑(종),중 : 연못둑(종),12,U+5839
孮,종,종 : 자손번성할(종),,11,U+5B6E
宗,종,종 : 겨레(종) 갈래(종) 높일(종),종 : 겨레(종) 갈래 (종) 높일(종),8,U+5B97
嵏,종,종 : 산이름(종),,12,U+5D4F
嵷,종,종 : 산높을(종),송 : 뾰족한봉우리(송),14,U+5D77
嵸,종,종,송,14,U+5D78
徖,종,종 : 편안할(종),,11,U+5F96
從,종,종 : 좇을(종) 따를(종),종 : 좇을(종) 따를 (종),11,U+5F9E
悰,종,종 : 즐거울(종),,11,U+60B0
慒,종,종 : 생각할(종),조 : 심란할(조),14,U+6152
慫,종,종 : 놀랄(종),,15,U+616B
柊,종,종 : 박달목서(종),동,9,U+67CA
棕,종,종 : 종려나무(종),,12,U+68D5
椶,종,종 : 종려나무(종),,13,U+6936
樅,종,종 : 전나무(종),,15,U+6A05
淙,종,종 : 물소리(종),장,11,U+6DD9
炂,종,종 : 녹일(종) 끓일(종),,8,U+7082
煄,종,종 : 탈(종),"중,훈",13,U+7144
琮,종,종 : 옥홀(종),,12,U+742E
瑽,종,종 : 패옥소리(종),,15,U+747D
瘇,종,종 : 수중다리(종),,14,U+7607
種,종,종 : 씨(종) 심을(종),,14,U+7A2E
終,종,종 : 마칠(종),,11,U+7D42
綜,종,종 : 모을(종) 종사(종),종 : 모을(종) 종사 (종),14,U+7D9C
縱,종,종 : 세로(종) 비록(종) 방자할(종) 늘어질(종) 놓을(종),종 : 세로(종) 비록 (종) 방자할(종)  늘어질(종) 놓을 (종),17,U+7E31
腫,종,종 : 부스럼(종),,13,U+816B
螽,종,종 : 베짱이(종),,17,U+87BD
踪,종,종 : 자취(종),,15,U+8E2A
踵,종,종 : 발꿈치(종) 뒤밟을(종),종 : 발꿈치(종) 뒤 밟을(종),16,U+8E35
蹤,종,종 : 자취(종),,18,U+8E64
錝,종,종 : 쇠털(종),,16,U+931D
鍾,종,종 : 술잔(종) 쇠북(종),종 : 술잔(종) 쇠북 (종),17,U+937E
鐘,종,종 : 종(종),동,20,U+9418
鬷,종,종 : 가마(종) 많을(종),,19,U+9B37
褈,"종,중","종,중 : 거듭(종)",,15,U+8908
潨,"종,총","종,총 : 물모일(총) 물모일(종)",,15,U+6F68
